Dong,복지_국민기초생활보장수급자_Autonomous Gu_Autonomous Gu,복지_국민기초생활보장수급자_Total recipients_Households,복지_국민기초생활보장수급자_Total recipients_Facility,복지_국민기초생활보장수급자_Total recipients_Persons,복지_국민기초생활보장수급자_General Recipients_Households,복지_국민기초생활보장수급자_General Recipients_Persons,복지_국민기초생활보장수급자_Conditional recipients_Households,복지_국민기초생활보장수급자_Conditional recipients_Persons,복지_국민기초생활보장수급자_Special recipients_Households,복지_국민기초생활보장수급자_Special recipients_Persons,복지_국민기초생활보장수급자_Institutional Recipients_Facility,복지_국민기초생활보장수급자_Institutional Recipients_Persons
Gusan-dong,Eunpyeong-gu,395,6,761.0,323,436,57,130,15,22,6,173
Daejo-dong,Eunpyeong-gu,489,2,726.0,405,523,60,158,24,37,2,8
Eungam 1(il)-dong,Eunpyeong-gu,372,1,603.0,307,396,44,106,21,28,1,73
Eungam 2(i)-dong,Eunpyeong-gu,459,1,730.0,370,494,62,170,27,46,1,20
Sinsa 1(il)-dong,Eunpyeong-gu,273,1,461.0,208,299,48,126,17,35,1,1
Sinsa 2(i)-dong,Eunpyeong-gu,267,1,468.0,222,343,41,114,4,9,1,2
Jeungsan-dong,Eunpyeong-gu,162,1,271.0,133,198,22,51,7,21,1,1
Susaek-dong,Eunpyeong-gu,382,1,566.0,309,399,58,148,15,18,1,1
Jingwan-dong,Eunpyeong-gu,254,1,429.0,208,321,29,69,17,32,1,7
Bulgwang 2(i)-dong,Eunpyeong-gu,675,-,983.0,559,749,73,167,43,67,-,-
Eungam 3(sam)-dong,Eunpyeong-gu,485,-,754.0,377,527,72,177,36,50,-,-
Yeokchon-dong,Eunpyeong-gu,509,3,854.0,420,637,65,162,24,45,3,10
Cheonyeon-dong,Seodaemun-gu,401,1,492.0,362,426,24,39,15,23,1,4
Hongje 1(il)-dong,Seodaemun-gu,246,1,327.0,215,269,23,43,8,12,1,3
Hongje 3(sam)-dong,Seodaemun-gu,275,-,374.0,257,344,14,25,4,5,-,-
Hongje 2(i)-dong,Seodaemun-gu,192,-,269.0,173,234,16,31,3,4,-,-
Hongeun 1(il)-dong,Seodaemun-gu,332,1,471.0,305,405,22,58,5,6,1,2
Hongeun 2(i)-dong,Seodaemun-gu,332,1,542.0,288,430,40,102,4,8,1,2
Namgajwa 1(il)-dong,Seodaemun-gu,49,-,53.0,47,51,2,2,-,-,-,-
Namgajwa 2(i)-dong,Seodaemun-gu,476,1,748.0,423,629,43,102,10,16,1,1
Bukgajwa 1(il)-dong,Seodaemun-gu,111,-,185.0,99,152,10,31,2,2,-,-
Bukgajwa 2(i)-dong,Seodaemun-gu,302,1,479.0,265,396,34,79,3,3,1,1
Chunghyeon-dong,Seodaemun-gu,228,1,303.0,211,274,13,23,4,5,1,1
Bugahyeon-dong,Seodaemun-gu,111,-,150.0,99,134,9,12,3,4,-,-
Sinchon-dong,Seodaemun-gu,367,1,396.0,357,385,7,7,3,3,1,1
Yeonhui-dong,Seodaemun-gu,332,1,486.0,307,419,21,60,4,6,1,1
Yonggang-dong,Mapo-gu,96,-,143.0,77,102,12,30,7,11,-,-
Daeheung-dong,Mapo-gu,241,-,304.0,207,240,28,52,6,12,-,-
Yeomni-dong,Mapo-gu,255,-,371.0,211,279,30,67,14,25,-,-
Sinsu-dong,Mapo-gu,118,-,154.0,102,123,12,22,4,9,-,-
Seogyo-dong,Mapo-gu,136,1,219.0,114,161,15,34,7,23,1,1
Hapjeong-dong,Mapo-gu,188,1,261.0,164,206,19,40,5,10,1,5
Mangwon 1(il)-dong,Mapo-gu,297,-,466.0,233,334,47,105,17,27,-,-
Mangwon 2(i)-dong,Mapo-gu,177,-,281.0,149,229,19,41,9,11,-,-
Yeonnam-dong,Mapo-gu,160,1,226.0,149,196,7,19,4,4,1,7
Seongsan 1(il)-dong,Mapo-gu,169,1,265.0,134,182,32,78,3,4,1,1
Seongsan 2(i)-dong,Mapo-gu,772,1,1494.0,599,1052,145,376,28,65,1,1
Sangam-dong,Mapo-gu,227,1,475.0,180,349,38,106,9,15,1,5
Dohwa-dong,Mapo-gu,245,-,339.0,218,299,17,27,10,13,-,-
Seogang-dong,Mapo-gu,161,1,223.0,134,173,20,38,7,11,1,1
gongdeok-dong,Mapo-gu,393,1,578.0,348,471,28,78,17,28,1,1
Ahyeon-dong,Mapo-gu,204,-,288.0,186,250,14,33,4,5,-,-
Mok 1(il)-dong,Yangcheon-gu,74,1,107.0,64,90,6,12,4,4,1,1
Mok 2(i)-dong,Yangcheon-gu,192,-,297.0,166,237,20,49,6,11,-,-
Mok 3(sam)-dong,Yangcheon-gu,258,1,384.0,222,286,33,92,3,4,1,2
Mok 4(sa)-dong,Yangcheon-gu,209,1,327.0,183,268,15,43,11,13,1,3
Sinwol 1(il)-dong,Yangcheon-gu,450,1,697.0,399,582,35,78,16,36,1,1
