Dong,사업_사업체및종사자밀도_Period,사업_사업체및종사자밀도_Gu,사업_사업체및종사자밀도_No. of establishments,사업_사업체및종사자밀도_No. of employee,사업_사업체및종사자밀도_Average worker,사업_사업체및종사자밀도_Establishments density,사업_사업체및종사자밀도_종사자밀도,사업_사업체및종사자밀도_Population density,사업_사업체및종사자밀도_종사자밀도비
Sinjeong 2(i)-dong,2013.0,Yangcheon-gu,1103.0,3708.0,3.36,2121.0,7131.0,43283.0,16.47
Sinjeong 3(sam)-dong,2013.0,Yangcheon-gu,1991.0,7934.0,3.98,732.0,2917.0,21201.0,13.76
Sinjeong 6(yuk)-dong,2013.0,Yangcheon-gu,693.0,5130.0,7.4,722.0,5344.0,28032.0,19.06
Sinjeong 7(chil)-dong,2013.0,Yangcheon-gu,1016.0,4365.0,4.3,840.0,3607.0,27239.0,13.24
Mok 5(o)-dong,2013.0,Yangcheon-gu,1489.0,9703.0,6.52,823.0,5361.0,25171.0,21.3
Sinjeong 4(sa)-dong,2013.0,Yangcheon-gu,3010.0,12547.0,4.17,2980.0,12423.0,36943.0,33.63
Yeomchang-dong,2013.0,Gangseo-gu,2157.0,15145.0,7.02,1240.0,8704.0,24483.0,35.55
Deungchon 1(il)-dong,2013.0,Gangseo-gu,1742.0,10265.0,5.89,2953.0,17398.0,39214.0,44.37
Deungchon 2(i)-dong,2013.0,Gangseo-gu,712.0,3351.0,4.71,774.0,3642.0,24111.0,15.11
Deungchon 3(sam)-dong,2013.0,Gangseo-gu,2296.0,19501.0,8.49,2906.0,24685.0,46953.0,52.57
Hwagokbon-dong,2013.0,Gangseo-gu,1368.0,3954.0,2.89,1232.0,3562.0,33543.0,10.62
Hwagok 2(i)-dong,2013.0,Gangseo-gu,842.0,2340.0,2.78,1791.0,4979.0,43709.0,11.39
Hwagok 3(sam)-dong,2013.0,Gangseo-gu,1177.0,3975.0,3.38,2308.0,7794.0,47543.0,16.39
Hwagok 4(sa)-dong,2013.0,Gangseo-gu,1445.0,3549.0,2.46,1762.0,4328.0,28822.0,15.02
Hwagok 6(yuk)-dong,2013.0,Gangseo-gu,1831.0,11125.0,6.08,1635.0,9933.0,23243.0,42.74
Hwagok 8(pal)-dong,2013.0,Gangseo-gu,1214.0,3156.0,2.6,2291.0,5955.0,52474.0,11.35
Gayang 1(il)-dong,2013.0,Gangseo-gu,1225.0,9936.0,8.11,261.0,2114.0,4734.0,44.65
Gayang 2(i)-dong,2013.0,Gangseo-gu,651.0,3293.0,5.06,651.0,3293.0,17581.0,18.73
Gayang 3(sam)-dong,2013.0,Gangseo-gu,861.0,6785.0,7.88,870.0,6854.0,18771.0,36.51
Balsan 1(il)-dong,2013.0,Gangseo-gu,2147.0,10930.0,5.09,725.0,3693.0,11268.0,32.77
Gonghang-dong,2013.0,Gangseo-gu,1822.0,33019.0,18.12,168.0,3038.0,2047.0,148.4
Banghwa 1(il)-dong,2013.0,Gangseo-gu,1957.0,7140.0,3.65,1882.0,6865.0,29642.0,23.16
Banghwa 2(i)-dong,2013.0,Gangseo-gu,3160.0,12658.0,4.01,493.0,1975.0,4049.0,48.77
Banghwa 3(sam)-dong,2013.0,Gangseo-gu,853.0,3824.0,4.48,358.0,1607.0,11452.0,14.03
Hwagok 1(il)-dong,2013.0,Gangseo-gu,2987.0,8395.0,2.81,2667.0,7496.0,47262.0,15.86
