Dong,사업_사업체현황조직형태별_Gu_Gu_Gu,사업_사업체현황조직형태별_합계_사업체수_사업체수,사업_사업체현황조직형태별_합계_사업체수_여성대표자,사업_사업체현황조직형태별_합계_종사자수_계,사업_사업체현황조직형태별_합계_종사자수_남,사업_사업체현황조직형태별_합계_종사자수_여,사업_사업체현황조직형태별_개인_사업체수_사업체수,사업_사업체현황조직형태별_개인_종사자수_종사자수,사업_사업체현황조직형태별_회사법인_사업체수_사업체수,사업_사업체현황조직형태별_회사법인_종사자수_종사자수,사업_사업체현황조직형태별_회사이외의 법인_사업체수_사업체수,사업_사업체현황조직형태별_회사이외의 법인_종사자수_종사자수,사업_사업체현황조직형태별_비법인단체_사업체수_사업체수,사업_사업체현황조직형태별_비법인단체_종사자수_종사자수
Myeonmokbon-dong,Jungnang-gu,2454.0,945.0,6842.0,3151.0,3691.0,2310.0,5510.0,78.0,734.0,17.0,351.0,49.0,247.0
Myeonmok 3.8(sam.pal)-dong,Jungnang-gu,3043.0,789.0,7685.0,4319.0,3366.0,2888.0,5145.0,70.0,783.0,26.0,1602.0,59.0,155.0
Mangubon-dong,Jungnang-gu,2783.0,970.0,9831.0,4933.0,4898.0,2484.0,5719.0,180.0,2229.0,47.0,1315.0,72.0,568.0
Donam 1(il)-dong,Seongbuk_gu,382.0,122.0,1383.0,618.0,765.0,333.0,683.0,17.0,218.0,10.0,394.0,22.0,88.0
Donam 2(i)-dong,Seongbuk_gu,363.0,146.0,1716.0,589.0,1127.0,304.0,569.0,21.0,725.0,17.0,351.0,21.0,71.0
Anam-dong,Seongbuk_gu,1329.0,434.0,13134.0,7692.0,5442.0,1056.0,3077.0,172.0,1858.0,64.0,8029.0,37.0,170.0
Bomun-dong,Seongbuk_gu,1239.0,366.0,4121.0,2285.0,1836.0,1110.0,2246.0,84.0,1320.0,22.0,384.0,23.0,171.0
Jeongneung 1(il)-dong,Seongbuk_gu,787.0,270.0,1937.0,983.0,954.0,713.0,1496.0,24.0,149.0,14.0,127.0,36.0,165.0
Jeongneung 2(i)-dong,Seongbuk_gu,957.0,327.0,2832.0,1555.0,1277.0,859.0,1668.0,40.0,598.0,19.0,434.0,39.0,132.0
Jeongneung 3(sam)-dong,Seongbuk_gu,674.0,243.0,4343.0,2487.0,1856.0,551.0,1096.0,33.0,467.0,37.0,2577.0,53.0,203.0
