Dong,사업_사업체분포다수업종상위10_Gu_Gu_Gu,사업_사업체분포다수업종상위10_다수업종 상위10_택시운송업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_택시운송업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_한식음식점업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_한식음식점업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_용달 및 개별화물 자동차운송업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_용달 및 개별화물 자동차운송업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_부동산자문 및 중개업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_부동산자문 및 중개업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_기타주점업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_기타주점업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_두발미용업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_두발미용업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_셔츠 및 기타 의복 소매점_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_셔츠 및 기타 의복 소매점_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_셔츠 및 외의 도매업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_셔츠 및 외의 도매업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_비알콜 음료점업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_비알콜 음료점업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_기타음·식료품 위주 종합소매업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_기타음·식료품 위주 종합소매업_종사자수
Mok 4(sa)-dong,Yangcheon-gu,88,88,86,221,70,74.0,55.0,67.0,44,72,58,80,18,21,-,-,22,37,22,64
Sinwol 1(il)-dong,Yangcheon-gu,161,305,120,287,138,148.0,47.0,65.0,65,107,61,70,32,39,X,2,5,8,34,70
Sinwol 2(i)-dong,Yangcheon-gu,163,445,46,147,128,141.0,32.0,44.0,19,34,22,35,5,6,X,2,5,7,18,38
Sinwol 3(sam)-dong,Yangcheon-gu,107,737,54,124,143,158.0,13.0,16.0,16,24,29,34,14,17,X,6,8,8,29,50
Sinwol 4(sa)-dong,Yangcheon-gu,205,834,73,187,138,146.0,31.0,36.0,36,57,42,53,9,11,X,6,12,21,14,28
Sinwol 5(o)-dong,Yangcheon-gu,86,239,70,184,92,96.0,24.0,34.0,26,50,31,39,19,42,3,5,10,14,18,30
Sinwol 6(yuk)-dong,Yangcheon-gu,1004,1188,52,138,79,83.0,22.0,33.0,20,27,22,22,13,17,X,16,X,6,10,18
Sinwol 7(chil)-dong,Yangcheon-gu,218,976,83,174,188,192.0,31.0,42.0,20,29,38,54,12,17,X,1,8,17,26,41
Sinjeong 1(il)-dong,Yangcheon-gu,31,31,85,250,20,20.0,43.0,58.0,48,91,33,45,17,21,-,-,16,46,7,26
Sinjeong 2(i)-dong,Yangcheon-gu,45,45,57,245,59,67.0,45.0,65.0,19,37,43,61,16,22,-,-,12,48,6,9
Sinjeong 3(sam)-dong,Yangcheon-gu,280,280,68,202,216,221.0,61.0,75.0,36,76,58,78,27,35,-,-,15,33,46,129
Sinjeong 6(yuk)-dong,Yangcheon-gu,32,32,23,96,15,15.0,45.0,65.0,X,1,17,43,12,16,-,-,5,16,10,23
Sinjeong 7(chil)-dong,Yangcheon-gu,126,126,50,150,79,79.0,37.0,52.0,11,24,31,50,14,17,-,-,8,30,12,41
Mok 5(o)-dong,Yangcheon-gu,21,21,56,266,14,14.0,100.0,204.0,17,42,38,92,38,44,3,3,23,101,11,75
Sinjeong 4(sa)-dong,Yangcheon-gu,138,233,192,578,153,160.0,88.0,120.0,92,198,88,156,74,168,3,50,48,133,36,100
