Dong,사업_사업체현황종사자규모별_Gu_Gu_Gu,사업_사업체현황종사자규모별_합계_사업체수_사업체수,사업_사업체현황종사자규모별_합계_사업체수_여성대표자,사업_사업체현황종사자규모별_합계_종사자수_계,사업_사업체현황종사자규모별_합계_종사자수_남,사업_사업체현황종사자규모별_합계_종사자수_여,사업_사업체현황종사자규모별_1~4명_사업체수_사업체수,사업_사업체현황종사자규모별_1~4명_종사자수_종사자수,사업_사업체현황종사자규모별_5~9명_사업체수_사업체수,사업_사업체현황종사자규모별_5~9명_종사자수_종사자수,사업_사업체현황종사자규모별_10~19명_사업체수_사업체수,사업_사업체현황종사자규모별_10~19명_종사자수_종사자수,사업_사업체현황종사자규모별_20~49명_사업체수_사업체수,사업_사업체현황종사자규모별_20~49명_종사자수_종사자수,사업_사업체현황종사자규모별_50~99명_사업체수_사업체수,사업_사업체현황종사자규모별_50~99명_종사자수_종사자수,사업_사업체현황종사자규모별_100~299명_사업체수_사업체수,사업_사업체현황종사자규모별_100~299명_종사자수_종사자수,사업_사업체현황종사자규모별_300~499명_사업체수_사업체수,사업_사업체현황종사자규모별_300~499명_종사자수_종사자수,사업_사업체현황종사자규모별_500~999명_사업체수_사업체수,사업_사업체현황종사자규모별_500~999명_종사자수_종사자수,"사업_사업체현황종사자규모별_1,000명 이상_사업체수_사업체수","사업_사업체현황종사자규모별_1,000명 이상_종사자수_종사자수"
Hwagokbon-dong,Gangseo-gu,1368.0,533.0,3954.0,1732.0,2222.0,1198.0,2031.0,119.0,786.0,35.0,441.0,13,350,1,85,2,261,-,-,-,-,-,-
Hwagok 2(i)-dong,Gangseo-gu,842.0,308.0,2340.0,1177.0,1163.0,747.0,1192.0,69.0,438.0,18.0,232.0,5,138,1,50,2,290,-,-,-,-,-,-
Hwagok 3(sam)-dong,Gangseo-gu,1177.0,478.0,3975.0,1542.0,2433.0,1038.0,1738.0,80.0,505.0,32.0,438.0,21,627,5,365,-,-,1,302,-,-,-,-
Hwagok 4(sa)-dong,Gangseo-gu,1445.0,567.0,3549.0,1772.0,1777.0,1335.0,2149.0,72.0,453.0,26.0,345.0,5,118,6,379,1,105,-,-,-,-,-,-
Hwagok 6(yuk)-dong,Gangseo-gu,1831.0,671.0,11125.0,6069.0,5056.0,1441.0,2771.0,210.0,1332.0,93.0,1206.0,59,1729,14,928,11,1764,2,710,1,685,-,-
Hwagok 8(pal)-dong,Gangseo-gu,1214.0,493.0,3156.0,1586.0,1570.0,1102.0,1626.0,74.0,466.0,26.0,320.0,8,225,2,147,2,372,-,-,-,-,-,-
Gayang 1(il)-dong,Gangseo-gu,1225.0,332.0,9936.0,6648.0,3288.0,826.0,1453.0,201.0,1297.0,122.0,1620.0,55,1567,8,544,12,1855,-,-,-,-,1,1600
Gayang 2(i)-dong,Gangseo-gu,651.0,223.0,3293.0,1671.0,1622.0,525.0,886.0,70.0,465.0,33.0,444.0,11,356,8,487,4,655,-,-,-,-,-,-
Gayang 3(sam)-dong,Gangseo-gu,861.0,178.0,6785.0,4285.0,2500.0,540.0,944.0,148.0,969.0,103.0,1346.0,56,1533,8,617,4,606,2,770,-,-,-,-
Balsan 1(il)-dong,Gangseo-gu,2147.0,715.0,10930.0,6219.0,4711.0,1740.0,3197.0,241.0,1566.0,90.0,1167.0,42,1249,20,1483,13,1892,1,376,-,-,-,-
